date,country,new_cases
2020-01-22,India,0
2020-01-23,India,0
2020-01-24,India,0
2020-01-25,India,0
2020-01-26,India,0
2020-01-27,India,0
2020-01-28,India,0
2020-01-29,India,0
2020-01-30,India,1
2020-01-31,India,0
2020-02-01,India,0
2020-02-02,India,1
2020-02-03,India,1
2020-02-04,India,0
2020-02-05,India,0
2020-02-06,India,0
2020-02-07,India,0
2020-02-08,India,0
2020-02-09,India,0
2020-02-10,India,0
2020-02-11,India,0
2020-02-12,India,0
2020-02-13,India,0
2020-02-14,India,0
2020-02-15,India,0
2020-02-16,India,0
2020-02-17,India,0
2020-02-18,India,0
2020-02-19,India,0
2020-02-20,India,0
2020-02-21,India,0
2020-02-22,India,0
2020-02-23,India,0
2020-02-24,India,0
2020-02-25,India,0
2020-02-26,India,0
2020-02-27,India,0
2020-02-28,India,0
2020-02-29,India,0
2020-03-01,India,0
2020-03-02,India,2
2020-03-03,India,0
2020-03-04,India,23
2020-03-05,India,2
2020-03-06,India,1
2020-03-07,India,3
2020-03-08,India,5
2020-03-09,India,4
2020-03-10,India,13
2020-03-11,India,6
2020-03-12,India,11
2020-03-13,India,9
2020-03-14,India,20
2020-03-15,India,11
2020-03-16,India,6
2020-03-17,India,23
2020-03-18,India,14
2020-03-19,India,38
2020-03-20,India,50
2020-03-21,India,86
2020-03-22,India,66
2020-03-23,India,103
2020-03-24,India,37
2020-03-25,India,121
2020-03-26,India,70
2020-03-27,India,160
2020-03-28,India,100
2020-03-29,India,37
2020-03-30,India,227
2020-03-31,India,146
2020-04-01,India,601
2020-04-02,India,545
2020-04-03,India,24
2020-04-04,India,515
2020-04-05,India,506
2020-04-06,India,1190
2020-04-07,India,533
2020-04-08,India,605
2020-04-09,India,809
2020-04-10,India,873
2020-04-11,India,848
2020-04-12,India,759
2020-04-13,India,1248
2020-04-14,India,1034
2020-04-15,India,835
2020-04-16,India,1108
2020-04-17,India,922
2020-04-18,India,1370
2020-04-19,India,1893
2020-04-20,India,924
2020-04-21,India,1541
2020-04-22,India,1290
2020-04-23,India,1707
2020-04-24,India,1453
2020-04-25,India,1753
2020-04-26,India,1607
2020-04-27,India,1561
2020-04-28,India,1873
2020-04-29,India,1738
2020-04-30,India,1801
2020-05-01,India,2394
2020-05-02,India,2442
2020-05-03,India,2806
2020-05-04,India,3932
2020-05-05,India,2963
2020-05-06,India,3587
2020-05-07,India,3364
2020-05-08,India,3344
2020-05-09,India,3113
2020-05-10,India,4353
2020-05-11,India,3607
2020-05-12,India,3524
2020-05-13,India,3763
2020-05-14,India,3942
2020-05-15,India,3787
2020-05-16,India,4864
2020-05-17,India,5050
2020-05-18,India,4630
2020-05-19,India,6147
2020-05-20,India,5553
2020-05-21,India,6198
2020-05-22,India,6568
2020-05-23,India,6629
2020-05-24,India,7113
2020-05-25,India,6414
2020-05-26,India,5843
2020-05-27,India,7293
2020-05-28,India,7300
2020-05-29,India,8105
2020-05-30,India,8336
2020-05-31,India,8782
2020-06-01,India,7761
2020-06-02,India,8821
2020-06-03,India,9633
2020-06-04,India,9889
2020-06-05,India,9471
2020-06-06,India,10438
2020-06-07,India,10864
2020-06-08,India,8442
2020-06-09,India,10218
2020-06-10,India,10459
2020-06-11,India,10930
2020-06-12,India,11458
2020-06-13,India,11929
2020-06-14,India,11502
2020-06-15,India,10667
2020-06-16,India,10974
2020-06-17,India,12881
2020-06-18,India,13586
2020-06-19,India,14516
2020-06-20,India,15403
2020-06-21,India,14831
2020-06-22,India,14933
2020-06-23,India,15968
2020-06-24,India,16922
2020-06-25,India,17296
2020-06-26,India,18552
2020-06-27,India,19906
2020-06-28,India,19459
2020-06-29,India,18522
2020-06-30,India,18641
2020-07-01,India,19160
2020-07-02,India,20903
2020-07-03,India,22771
2020-07-04,India,24850
2020-07-05,India,24248
2020-07-06,India,22251
2020-07-07,India,22753
2020-07-08,India,24879
2020-07-09,India,26506
2020-07-10,India,27114
2020-07-11,India,28606
2020-07-12,India,28732
2020-07-13,India,28498
2020-07-14,India,29429
2020-07-15,India,32676
2020-07-16,India,34975
2020-07-17,India,35252
2020-07-18,India,38697
2020-07-19,India,40425
2020-07-20,India,37132
2020-07-21,India,37740
2020-07-22,India,45720
2020-07-23,India,49310
2020-07-24,India,48916
2020-07-25,India,48611
2020-07-26,India,49981
2020-07-27,India,44457
2020-07-28,India,51596
2020-07-29,India,50294
2020-07-30,India,52783
2020-07-31,India,61242
2020-08-01,India,54735
2020-08-02,India,52972
2020-08-03,India,52050
2020-08-04,India,52509
2020-08-05,India,56282
2020-08-06,India,62538
2020-08-07,India,61537
2020-08-08,India,64399
2020-08-09,India,62064
2020-08-10,India,53601
2020-08-11,India,60963
2020-08-12,India,66999
2020-08-13,India,64553
2020-08-14,India,64732
2020-08-15,India,64030
2020-08-16,India,57711
2020-08-17,India,55018
2020-08-18,India,64572
2020-08-19,India,69672
2020-08-20,India,68900
2020-08-21,India,69876
2020-08-22,India,69239
2020-08-23,India,61408
2020-08-24,India,60975
2020-08-25,India,57224
2020-08-26,India,85687
2020-08-27,India,77266
2020-08-28,India,76472
2020-08-29,India,78761
2020-08-30,India,78512
2020-08-31,India,69921
2020-09-01,India,78357
2020-09-02,India,83883
2020-09-03,India,83341
2020-09-04,India,86432
2020-09-05,India,90632
2020-09-06,India,90802
2020-09-07,India,75809
2020-09-08,India,89706
2020-09-09,India,95735
2020-09-10,India,96551
2020-09-11,India,97570
2020-09-12,India,94372
2020-09-13,India,92071
2020-09-14,India,83809
2020-09-15,India,90123
2020-09-16,India,97894
2020-09-17,India,96424
2020-09-18,India,93337
2020-09-19,India,92605
2020-09-20,India,86961
2020-09-21,India,75083
2020-09-22,India,83347
2020-09-23,India,86508
2020-09-24,India,86052
2020-09-25,India,85362
2020-09-26,India,88600
2020-09-27,India,82170
2020-09-28,India,70589
2020-09-29,India,80472
2020-09-30,India,86821
2020-10-01,India,81484
2020-10-02,India,79476
2020-10-03,India,75829
2020-10-04,India,74442
2020-10-05,India,61267
2020-10-06,India,72049
2020-10-07,India,78524
2020-10-08,India,70496
2020-10-09,India,73272
2020-10-10,India,74383
2020-10-11,India,66732
2020-10-12,India,55342
2020-10-13,India,63509
2020-10-14,India,67708
2020-10-15,India,63371
2020-10-16,India,62212
2020-10-17,India,61871
2020-10-18,India,55722
2020-10-19,India,46790
2020-10-20,India,54044
2020-10-21,India,55839
2020-10-22,India,54366
2020-10-23,India,53370
